"Ad Impressions","Channel Image","Channel Name","Video Name","Content Category","Video Language","Video Format","Video Minutes","Childrens Content","Video Views","Channel Views","Channel Subs","Channel Origin","Video URL","Channel URL"
1885,"https://yt3.ggpht.com/ytc/AIdro_kNdUfX7a2qE6rx4eek6J3vDjvIk-gc1QJ1unjI0c3H90o=s88-c-k-c0x00ffffff-no-rj","Vice Grip Garage","1,800 Miles Home! Will This Classic Ford Mustang RUN AND DRIVE From Arizona To Tennessee?","Autos & Vehicles","English","Long Form",98,0,"1605014","649953623","2070000","US","https://www.youtube.com/watch?v=JUBW-yw5a_c","https://www.youtube.com/channel/UCsfu-jdkX2_v2t3_igVQebg"
1739,"https://yt3.ggpht.com/HnQ2IpvU-HxiQMPMcch4i09xWtrzH81PvYPieKGikoouGxSuRpNUXSYexraGQicpMJpLjXezGw=s88-c-k-c0x00ffffff-no-rj","EH Digital","SAKKIGONI | S3 | EP 46 | Ft. Arjun, Kumar, Dipak, Hari, Kamalmani, Sagar, Cp,Subodh, Gajit, Surashya","Entertainment","Non linguistic content","Long Form",46,0,"3370086","653838818","2120000","US","https://www.youtube.com/watch?v=L-5kpNf0OtE","https://www.youtube.com/channel/UCgMKDSxreVSOjtB9byZk7SA"
1628,"https://yt3.ggpht.com/ytc/AIdro_mcqH-kpiOe-bYmupMIShQ8R7XX4XNGryAeG-hYf6LnS0A=s88-c-k-c0x00ffffff-no-rj","Stokes Twins","I Built a SECRET 7-11 in My Room!","People & Blogs","English","Long Form",21,0,"80724789","14429495697","94200000","US","https://www.youtube.com/watch?v=eXosE1wewXg","https://www.youtube.com/channel/UCbp9MyKCTEww4CxEzc_Tp0Q"
1615,"https://yt3.ggpht.com/e86eCJjrnNGQToVWa1v_CvuW4YeB4SRLuPbtG_ieYJqSArQHHDUaLfmvmtEQgVxR4RQAGXCU=s88-c-k-c0x00ffffff-no-rj","The Anazala Family ","I Bought 100 Mini Products that ACTUALLY Work!","Entertainment","English","Long Form",21,0,"7477195","1473878794","8630000","US","https://www.youtube.com/watch?v=gO160cr8LyU","https://www.youtube.com/channel/UC5Hi0UkephOloKgZKLM9e-w"
1556,"https://yt3.ggpht.com/yq0bY6BocTXifhcErXMgYsjb0ONHPM8-x-TBZZpOsdEL1x4jA-ZBKZ34pFSZ1go4PZ4AYYz_rA=s88-c-k-c0x00ffffff-no-rj","Wild Westerns","Adventures in Silverado | Full Movie | Wild Westerns","Entertainment","English","Long Form",75,0,"316849","126430312","272000","US","https://www.youtube.com/watch?v=JQYECteU1sI","https://www.youtube.com/channel/UCD6ZM9YKyZisN_RB6jpvEaQ"
1504,"https://yt3.ggpht.com/yScDBC3juRjXhMsN-idm-1kCrR-5laPRt7uzWPfyaYs3-UwKcovRkKaLpGqEZSf_lZsRoQoX=s88-c-k-c0x00ffffff-no-rj","SocksReact","I Watched Skibidi Toilet Until I Couldn't Anymore...","Comedy","English","Long Form",64,0,"4356879","1517960385","3090000","US","https://www.youtube.com/watch?v=261bZNM2N8I","https://www.youtube.com/channel/UC0VNRvMijMy6DtM9UgX46Og"
1462,"https://yt3.ggpht.com/g1EA2tCAK3QnVL0Plrjq_SqZKAEv4SdqMGy3dZnELkLlFeWe5EI0Pv4uTZ9phx_FCMM8S1mA=s88-c-k-c0x00ffffff-no-rj","Sakla Beni","Sakla Beni 23. Bölüm","Entertainment","Turkish","Long Form",135,0,"5569204","376288215","670000","TR","https://www.youtube.com/watch?v=KtlM8WuY6OM","https://www.youtube.com/channel/UCM2JW9IWWlh7Z8jcXZpNSyw"
1427,"https://yt3.ggpht.com/e86eCJjrnNGQToVWa1v_CvuW4YeB4SRLuPbtG_ieYJqSArQHHDUaLfmvmtEQgVxR4RQAGXCU=s88-c-k-c0x00ffffff-no-rj","The Anazala Family ","BUSTING 100 MYTHS in 24 HOURS! (with my daughter)","Entertainment","English","Long Form",79,0,"16554215","1473878794","8630000","US","https://www.youtube.com/watch?v=eHbKs03M1m8","https://www.youtube.com/channel/UC5Hi0UkephOloKgZKLM9e-w"
1384,"https://yt3.ggpht.com/e84EzURISmapkhmhrHf1eFOT9qWvZL7GB3PzcqokoF-8hzijJRvubAzQvoAkaokpdtjQ0ZKv3Q=s88-c-k-c0x00ffffff-no-rj","Factinate","The Tragic Downfall Of Mama Cass","Entertainment","English","Long Form",20,0,"2648091","101093794","329000","CA","https://www.youtube.com/watch?v=0NoiZ0KLtoM","https://www.youtube.com/channel/UCgV0XiAesMW_-P4nkvMdVSw"
1353,"https://yt3.ggpht.com/mwJISaK3ybLTlv4Lp0kiqA0D_ZABsCtknjyNJir_58dFFSgoCuBnFWZnAnertcyOe01GKokV=s88-c-k-c0x00ffffff-no-rj","Top Talent","NEVER Judge a Book By Its Cover! BIGGEST Surprises They Didn't See Coming...","Entertainment","English","Long Form",95,0,"14555531","1675536327","5820000","US","https://www.youtube.com/watch?v=VAX_a8lbr8U","https://www.youtube.com/channel/UCD2GdZBCsUa0TIssLai6Skw"
1352,"https://yt3.ggpht.com/8Yat-ht6uSglpKe5BonuiW3ZeaoU89MP0652EWzITq0lMWYD99Ak1pZXdZlqrSjUVm5WRjErnA=s88-c-k-c0x00ffffff-no-rj","Stay Wild","If You Build It, I'll Pay For It!","Entertainment","English","Long Form",31,0,"14431719","1910773665","7390000","US","https://www.youtube.com/watch?v=bJ_IWWfhBFc","https://www.youtube.com/channel/UClQ3NafOy_42dJ0toK3QUKw"
